Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(ttm),"Div Yield(ttm)"
KIRK,"Kirkland's Inc",190163000,26.84,0.45,5300000,1.18,N/A,0.00%
KLIC,"Kulicke and Soffa",1747360000,10.46,2.45,112010000,1.22,0.12,0.46%
KN,"Knowles Corp",1592067000,23.7,0.74,68300000,0.99,N/A,0.00%
KOP,"Koppers Holdings Inc",769893000,8.88,3.94,29100000,0.85,N/A,0.00%
KOPN,"Kopin Cp",175483000,0,-0.36,-25240000,1.03,N/A,0.00%
KRA,"Kraton Performance Polymers Inc",1570901000,13.23,3.64,97550000,1.35,N/A,0.00%
KRG,"Kite Realty Group Trust",1442471000,8.63,-0.21,11870000,0.55,1.255,7.28%
KS,"Kapstone Paper and Packaging Corp",3361782000,17.96,1.91,243500000,3.24,0.4,1.16%
KWR,"Quaker Chemical Corp",2379938000,32.01,5.54,20280000,1.34,1.435,0.80%
LABL,"Multi Color Cp",1253575000,15.47,3.95,71950000,0.81,0.2,0.33%
LAD,"Lithia Motors",2129996000,9.62,8.92,245220000,1.56,1.12,1.27%
LCI,"Lannett Co Inc",193851000,1.8,2.86,-580000,2.44,N/A,0.00%
LCII,"Lci Industries",2380768000,14.95,6.18,132880000,1.04,1.7,1.80%
LDL,"Lydall Inc",781231000,16.81,2.65,49320000,1.48,N/A,0.00%
LGIH,"LGI Homes Inc",1296473000,9.74,5.83,113310000,0,N/A,0.00%
LGND,"Ligand Pharm",5421856000,46.98,5.35,12560000,0.91,N/A,0.00%
LHCG,"LHC Group Inc",3116395000,36.44,2.73,50110000,0.49,N/A,0.00%
LION,"Fidelity Southern Cp",663924000,17.92,1.35,39800000,0.97,0.48,1.97%
LKSD,"Lsc Communications Inc",409450000,7.71,1.6,-57000000,-0.48,1.03,8.39%
LL,"Lumber Liquidators Holdings Inc",494035000,78.77,0.22,-37820000,1.36,N/A,0.00%
LMAT,"Lemaitre Vascular",699022000,33.03,1.08,17180000,0.59,0.265,0.73%
LMNX,"Luminex Corp",1244619000,36.84,0.76,29420000,0.31,0.24,0.86%
LNN,"Lindsay Corp",994494000,29.71,3.11,23180000,0.32,1.21,1.30%
LNTH,"Lantheus Holdings",570670000,17.32,0.84,123390000,1.28,N/A,0.00%
LOCO,"El Pollo Loco",469112000,19.23,0.65,8620000,0.35,N/A,0.00%
LPSN,"Liveperson Inc",1644504000,0,-0.1,-18190000,1.02,N/A,0.00%
LQDT,"Liquidity Services",236082000,0,-0.66,-39190000,0.64,N/A,0.00%
LTC,"Ltc Properties",1796824000,15.08,3.26,87340000,0.13,2.28,5.03%
LTXB,"Legacytexas Fnl",2190708000,19.65,2.32,89490000,1.43,0.64,1.41%
LXP,"Lexington Realty Trust",2207080000,9.08,0.06,85580000,0.82,0.707,7.68%
LXU,"Lsb Industries Inc",203131000,0,-2.97,-29220000,4.54,N/A,0.00%
LZB,"La-Z-Boy Inc",1547774000,16.9,1.97,80870000,0.94,0.47,1.42%
MANT,"Mantech Intl Cp A",2597636000,35.12,1.85,114140000,0.82,0.92,1.40%
MATW,"Matthews Intl Corp",1696485000,13.98,3.79,74370000,1.08,0.76,1.44%
MATX,"Matson Inc",1565809000,16.91,2.16,232000000,1.34,0.81,2.21%
MCRI,"Monarch Casino",842261000,28.72,1.66,25540000,1.09,N/A,0.00%
MCS,"Marcus Corp",1097305000,21.19,1.85,65000000,0.58,0.575,1.47%
MDC,"M.D.C. Holdings",1838815000,9.4,3.46,141840000,1.47,1.131,3.47%
MDCO,"Medicines Co",2894782000,0,-4.08,-708370000,0.75,N/A,0.00%
MDXG,"Mimedx Group Inc",517446000,21.19,0.05,11970000,1.5,N/A,0.00%
MED,"Medifast Inc",2714204000,67.71,3.32,27720000,0.28,1.76,0.77%
MEI,"Methode Electronics",1504457000,12.9,3.09,57200000,0.79,0.42,1.03%
MGLN,"Magellan Health",1865332000,13.08,5.74,110210000,0.4,N/A,0.00%
MGPI,"MGP Ingredients Inc",1233420000,39.56,1.89,41820000,1.1,0.28,0.38%
MHLD,"Maiden Holdings Ltd",336717000,0,-2.24,-169900000,1.19,0.6,14.81%
MHO,"M/I Homes",757962000,7.88,3.31,72080000,1.18,N/A,0.00%
MINI,"Mobile Mini Inc",1942710000,31.76,1.36,122230000,1.93,0.977,2.25%
MLI,"Mueller Industries",1899894000,21.57,1.54,85600000,1.44,0.4,1.21%
MMSI,"Merit Medical Sys",3174920000,41.47,1.39,27520000,1.32,N/A,0.00%
MNRO,"Monro Muffler Brak",2257899000,31.9,2.21,63940000,0.78,0.94,1.37%
MNTA,"Momenta Pharma",2142052000,0,-1.8,-88100000,1.92,N/A,0.00%
MOG.A,"Moog Inc Cl A",2876800000,18.43,4.31,141280000,1.72,0.5,0.62%
MOV,"Movado Group Inc",1103025000,21.59,2.36,-15230000,-0.22,0.66,1.38%
MPAA,"Motorcar Parts Amer",500623000,17.74,1.47,16320000,1.64,N/A,0.00%
MRCY,"Mercury Sys Inc",2528657000,43.57,1.19,40880000,0.5,N/A,0.00%
MRTN,"Marten Transport L",1210719000,29.73,0.74,90280000,1.31,0.1,0.45%
MSTR,"Microstrategy Cl A",1685287000,40.67,3.68,17640000,0.63,N/A,0.00%
MTH,"Meritage Corp",1782503000,9.11,4.74,143260000,1.15,N/A,0.00%
MTRN,"Materion Corp",1285240000,30.87,2.06,11450000,0.97,0.41,0.65%
MTRX,"Matrix Service Co",579312000,177.92,0.12,-180000,0.94,N/A,0.00%
MTSC,"M T S Systems Cp",950152000,29.36,1.79,25080000,0.95,1.2,2.26%
MXL,"Maxlinear Inc",1297415000,17.36,1.09,-9190000,0.65,N/A,0.00%
MYE,"Myers Industries",802560000,32.04,0.71,-9890000,1.6,0.54,2.37%
MYGN,"Myriad Genetics Inc",3491919000,38.59,1.26,131000000,0.49,N/A,0.00%
MYRG,"MYR Group Inc",574813000,25.78,1.36,21150000,0.52,N/A,0.00%
NANO,"Nanometrics Inc",1074954000,20.72,2.13,30200000,1.79,N/A,0.00%
NAVG,"Navigators Grp Inc",2065344000,38.19,1.82,40490000,0.55,0.2,0.29%
NBHC,"National Bank Holdings Corp",1256036000,24.48,1.66,14580000,0.79,0.32,0.78%
NBTB,"NBT Bancorp Inc",1781357000,18.28,2.25,82150000,0.89,0.94,2.30%
NCI,"Navigant Consulting",1064937000,17.33,1.38,74950000,0.81,N/A,0.00%
NE,"Noble Corp",1534972000,0,-1.69,-516510000,2.19,N/A,0.00%
NEOG,"Neogen Cp",4610279000,73.22,1.21,63150000,1.33,N/A,0.00%
NEWM,"New Media Investment Group Inc",948965000,22.27,0.71,-920000,1.08,1.48,9.40%
NFBK,"Northfield Bncrp Del",815595000,21.01,0.79,24770000,0.38,0.4,2.43%
NGVT,"Ingevity Corp",4231912000,31.19,3.22,126500000,1.3,N/A,0.00%
NLS,"Nautilus Group",450725000,18.27,0.84,26270000,1.35,N/A,0.00%
NMIH,"Nmi Holdings Cmn A",1459650000,19.22,1.16,22050000,1.12,N/A,0.00%
NP,"Neenah Paper",1503761000,20.8,4.3,80300000,1.11,1.6,1.79%
NPK,"National Presto Industries",958005000,21.07,6.6,52960000,0.4,5.5,4.01%
NPO,"Enpro Industries",1585414000,25.11,3,539800000,1.06,0.92,1.22%
NR,"Newpark Resources",996160000,37.24,0.29,-6150000,1.47,N/A,0.00%
NSA,"National Storage Affiliates Tru",1596407000,21.66,0.11,2960000,0.5,1.11,3.93%
NSIT,"Insight Enterpr",1964329000,14.31,3.93,90680000,1.3,N/A,0.00%
NSP,"Insperity Inc",4892064000,40.76,2.83,84400000,0.8,1.7,1.46%
NTGR,"Netgear Inc",2345988000,32.91,2.22,19440000,1.99,N/A,0.00%
NTRI,"Nutrisystem Inc",1092960000,20.53,1.87,57870000,1.32,0.925,2.49%
NWBI,"Northwest Bancshares",1885765000,19.31,0.95,94470000,0.71,0.67,3.67%
NWN,"Northwest Natural Gas Company",1815840000,29.33,2.17,-55620000,0.33,1.89,3.00%
NX,"Quanex Building Products Corp",589008000,20.94,0.8,18680000,0.72,0.16,0.95%
NYMT,"New York Mtge Trust",888593000,7.74,0.82,91980000,1.16,0.8,12.52%
OCLR,"Oclaro Inc",1605080000,20.46,0.46,62450000,0.88,N/A,0.00%
ODP,"Office Depot",1851863000,9.54,0.35,181000000,2.54,0.1,2.99%
OFG,"Oriental Financial Group",723471000,11.74,1.41,52650000,1.84,0.24,1.46%
OFIX,"Orthofix Intl Nv",1005348000,30.58,1.75,6220000,0.42,N/A,0.00%
OIS,"Oil States International",2012665000,0,-0.41,-84850000,1.69,N/A,0.00%
OMCL,"Omnicell Inc",2678214000,84.2,0.81,20610000,0.91,N/A,0.00%
OMI,"Owens & Minor",1046353000,11.11,1.5,72790000,1.09,1.035,6.16%
ONB,"Old National Bncp",3039383000,17.33,1.16,95730000,0.9,0.52,2.61%
OPB,"Opus Bank",963268000,18.26,1.55,46900000,0.92,0.32,1.14%
ORIT,"Oritani Financial",757575000,14.18,1.16,42890000,0.41,1.375,8.46%
ORN,"Orion Group Holdings Inc",249321000,109.75,0.08,400000,1.33,N/A,0.00%
OSIS,"O S I Systems Inc",1408556000,21.05,3.64,-29130000,0.86,N/A,0.00%
OSPN,"Onespan Inc.",740232000,39.15,0.47,-22400000,1.39,N/A,0.00%
OSUR,"Orasure Tech Inc",995848000,64.6,0.25,30950000,1.56,N/A,0.00%
OXM,"Oxford Industries",1576945000,24.43,3.82,65090000,0.29,1.22,1.31%
PAHC,"Phibro Anl Htlh A",2157655000,30.39,1.67,64620000,0.93,0.4,0.75%
PARR,"Par Petroleum Corp",837769000,11.72,1.55,72620000,-0.01,N/A,0.00%
PATK,"Patrick Inds Inc",1596903000,15.06,4.21,85720000,0.76,N/A,0.00%
PDCE,"Pdc Energy Inc",3552584000,58.29,0.93,-127500000,0.64,N/A,0.00%
PDFS,"Pdf Solutions Inc",327185000,0,-0.14,-1340000,1.21,N/A,0.00%
PEI,"Pennsylvania Real Estate Investment",712954000,6.47,-0.15,-29340000,1.16,0.84,8.30%
PENN,"Penn Natl Gaming Inc",3168977000,26.99,1.28,473460000,1.51,N/A,0.00%
PERY,"Perry Ellis Int",438329000,13.38,2.07,56650000,0.42,N/A,0.00%
PES,"Pioneer Energy Services Corp",265914000,0,-0.57,-75120000,2.9,N/A,0.00%
PETS,"Petmed Express Inc",758702000,18.59,1.99,37280000,0.63,0.97,2.65%
PFBC,"Preferred Bank La",816989000,14.96,4.15,43390000,1.01,0.89,1.44%
PFS,"Provident Financial Services",1706099000,17.09,1.5,93950000,0.85,0.96,3.78%
PGNX,"Progenics Pharmaceut",607402000,0,-0.82,-51010000,2.43,N/A,0.00%
PGTI,"Pgt Inc",1255568000,26.33,0.94,39840000,0.82,N/A,0.00%
PJC,"Piper Jaffray Companies",1185536000,12.52,6.23,-61940000,1.52,3.37,4.31%
PKE,"Park Electrochemical Corp",435780000,47.42,0.45,20600000,0.91,3.4,15.80%
PLAB,"Photronics Inc",751748000,22.04,0.49,13130000,0.73,N/A,0.00%
PLAY,"Dave & Buster's Ente",2272437000,21.68,2.65,120950000,0.4,N/A,0.00%
PLCE,"Children's Place Inc",2238912000,17.97,7.67,84700000,0.4,1.8,1.34%
PLUS,"Eplus Inc",1398068000,23.28,4.38,55120000,1.29,N/A,0.00%
PLXS,"Plexus Cp",1994392000,19.54,3.12,112060000,0.73,N/A,0.00%
PMT,"Pennymac Mortgage Investment Trust",1204982000,14.78,1.34,117750000,0.41,1.88,9.51%
POWI,"Power Integratn",2170458000,31.2,2.33,27610000,0.92,0.6,0.81%
POWL,"Powell Inds Inc",462126000,0,-1.17,-9490000,1.24,1.04,2.58%
PPBI,"Pacific Premier Bncp",2426971000,17.29,2.29,60100000,0.68,N/A,0.00%
PRA,"Pro-Assurance Corp",2592527000,25.53,1.88,107260000,0.62,5.93,12.26%
PRAA,"Pra Group Inc",1721400000,23.66,1.6,162270000,1.5,N/A,0.00%
PRFT,"Perficient Inc",984427000,24.59,1.14,18580000,0.66,N/A,0.00%
PRGS,"Progress Software",1808052000,20.82,1.95,37420000,0.78,0.545,1.36%
PRLB,"Proto Labs Inc",4015307000,62.51,2.35,51780000,1.05,N/A,0.00%
PRSC,"Providence Svc Cp",858270000,38.45,1.74,53370000,0.7,N/A,0.00%
PSB,"Business Parks",3534589000,20.73,5.68,155040000,0.47,3.4,2.63%
PUMP,"Propetro Holding Corp",1396789000,13.56,1.24,12610000,1.28,N/A,0.00%
PVAC,"Penn Va Corp",1256757000,15.01,5.56,32660000,1.32,N/A,0.00%
QHC,"Quorum Health Corp",137460000,0,-1.69,-114190000,0.96,N/A,0.00%
QLYS,"Qualys Inc",3558750000,83.38,1.08,40440000,0.91,N/A,0.00%
QNST,"Quinstreet Inc",747482000,48.55,0.33,15930000,0.98,N/A,0.00%
QSII,"Quality Systems Inc",1448803000,41.43,0.54,2420000,0.62,N/A,0.00%
RAVN,"Raven Industries Inc",1705250000,33.1,1.47,41020000,1.54,0.52,1.09%
RCII,"Rent-A-Center Inc",788737000,0,-0.17,6650000,0.62,0.08,0.54%
RECN,"Resources Connect",497952000,19.21,0.82,18830000,1.1,0.49,3.14%
REGI,"Renewable Energy",985527000,4.93,5.35,-79080000,0.91,N/A,0.00%
REI,"Ring Energy Inc",692069000,34.49,0.35,1750000,0.32,N/A,0.00%
REX,"Rex American Resources Corp",508870000,17.27,4.61,39710000,1.26,N/A,0.00%
RGEN,"Repligen Cp",2323244000,77.87,0.68,28350000,0.72,N/A,0.00%
RGNX,"Regenxbio Inc",2151846000,33.58,1.97,-73170000,-1.16,N/A,0.00%
RGR,"Sturm Ruger & Company",1065933000,22.28,2.76,52140000,-0.08,1.1,1.80%
RGS,"Regis Corp",946493000,36.27,0.59,8700000,1.36,N/A,0.00%
RH,"Restoration Hardware Holdings",3320638000,33.19,4.71,2180000,1.87,N/A,0.00%
RLI,"Rli Corp",3415510000,44.34,1.75,105030000,1.28,2.6,3.38%
RMAX,"Re/Max Holdings Inc",886613000,0,1.53,12820000,0.47,0.78,1.56%
RMBS,"Rambus Inc",1290347000,18.63,0.64,-22860000,0.34,N/A,0.00%
ROCK,"Gibraltar Ind Inc",1452800000,22.29,2.05,62560000,1.9,N/A,0.00%
ROG,"Rogers Corp",2543153000,24.85,5.44,80460000,1.44,N/A,0.00%
ROIC,"Retail Opp Invts Cp",2199210000,16.94,0.33,38480000,0.59,0.765,3.92%
RPT,"Ramco-Gershenson Properties Trust",1108475000,10.18,0.67,69060000,0.61,0.88,6.36%
RRD,"Donnelley [R.R.] & Sons Co",362560000,5.67,0.92,-34400000,1.23,0.45,8.74%
RRGB,"Red Robin Gourm",545350000,19.04,2.14,30020000,0.24,N/A,0.00%
RTEC,"Rudolph Technologies",882035000,18.37,1.5,32910000,1,N/A,0.00%
RUTH,"Ruth's Hospitality",952614000,24.88,1.27,30140000,0.35,0.42,1.35%
RWT,"Redwood Trust",1386590000,9.68,1.71,140410000,0.66,1.14,6.82%
RYAM,"Rayonier Advanced Materials Inc",1092821000,12.67,1.66,324960000,3.41,0.28,1.31%
SAFT,"Safety Ins Group Inc",1464782000,21.71,4.42,62390000,0.61,3.2,3.34%
SAH,"Sonic Automotive",931078000,11.76,1.85,92980000,1.58,0.22,1.01%
SAIA,"Saia Inc",2016665000,25.68,3,91160000,0.78,N/A,0.00%
SANM,"Sanmina Corp",2103362000,14.71,2.08,138830000,0.47,N/A,0.00%
SBCF,"Seacoast Banking Cp",1481767000,20.95,1.5,42870000,0.62,N/A,0.00%
SBSI,"Southside Bancshares",1240782000,18.59,1.93,54310000,0.75,1.18,3.34%
SCHL,"Scholastic Cp",1470980000,29.96,1.4,-5000000,0.69,0.6,1.43%
SCL,"Stepan Company",2011261000,18.78,4.73,91580000,1.21,0.88,0.99%
SCSC,"Scansource Inc",1085447000,14.09,3.02,69250000,0.97,N/A,0.00%
SCVL,"Shoe Carnival Inc",560388000,18.3,1.84,18930000,0.75,0.305,0.88%
SEDG,"Solaredge Tech",2147600000,16.59,2.88,84170000,-0.43,N/A,0.00%
SEM,"Select Medical Holdings Corp",2639910000,18.4,0.74,177180000,1.37,N/A,0.00%
SENEA,"Seneca Foods Cp A",301940000,0,-0.63,-13810000,1.08,N/A,0.00%
SFBS,"Servisfirst Bancs",2299071000,20.13,2.14,93090000,1.25,0.32,0.74%
SFLY,"Shutterfly Inc",2536089000,36.94,2.03,30090000,0.99,N/A,0.00%
SFNC,"Simmons First Natl",2856376000,14.99,2.08,92940000,1.16,0.55,1.78%
SHAK,"Shake Shack Inc",2130336000,84.86,0.69,-320000,1.26,N/A,0.00%
SHOO,"Steven Maddens Ltd",3343275000,24.29,2.4,117950000,0.43,0.4,0.70%
SIGI,"Selective Ins Group",3747471000,20.93,3.05,168830000,1.28,0.72,1.13%
SJI,"South Jersey Industries",2798742000,18.58,1.78,-3490000,0.56,1.113,3.40%
SKYW,"Skywest Inc",3304476000,14.95,4.28,428910000,1.73,0.36,0.57%
SLCA,"U.S. Silica Holdings Inc",1739426000,10.2,2.22,145210000,2.23,0.25,1.11%
SMCI,"Super Micro Computer",839903000,12.22,0,69320000,0.19,N/A,0.00%
SMP,"Standard Motor Products",1151332000,20.54,2.48,37980000,1.7,0.82,1.60%
SMTC,"Semtech Corp",3325545000,42.4,1.19,36430000,1.37,N/A,0.00%
SNBR,"Sleep Number Corporation",1121016000,21.86,1.49,65080000,0.98,N/A,0.00%
SONC,"Sonic Cp",1235722000,23.98,1.44,63660000,1.48,0.64,1.87%
SPOK,"Spok Holdings Inc",302603000,50.32,0.31,-15310000,0.42,0.5,3.22%
SPPI,"Spectrum Pharma Inc",2629927000,0,-0.94,-91250000,1.92,N/A,0.00%
SPSC,"Sps Commerce Inc",1715312000,140.87,0.69,-2440000,0.72,N/A,0.00%
SPTN,"Spartannash Company",764590000,10.73,2,-52850000,1.15,0.69,3.24%
SPXC,"SPX Corp",1469727000,17.8,1.93,89300000,1.55,N/A,0.00%
SR,"Spire Inc",3790116000,18.41,4.11,161600000,0.03,2.213,2.96%
SRCI,"Src Energy Inc",2340318000,10,0.97,142480000,1.65,N/A,0.00%
SRDX,"Surmodics Inc",1001250000,119.6,0.62,3930000,0.61,N/A,0.00%
SSD,"Simpson Manufacturing Company",3509498000,31.4,2.38,92620000,1.59,0.85,1.12%
SSP,"E.W. Scripps Company",1193338000,161.89,0.01,-13110000,2.09,0.1,0.69%
SSTK,"Shutterstock Inc",1848685000,71.57,0.74,16730000,1.34,N/A,0.00%
STBA,"S&T Bancorp Inc",1648621000,17.87,2.66,72970000,0.67,0.69,1.47%
STC,"Stewart Information Services Corp",1068300000,21.04,2.15,48660000,0.74,1.2,2.67%
STMP,"Stamps.Com Inc",4305736000,20.8,11.31,150600000,0.01,N/A,0.00%
STRA,"Strayer Education",1556256000,38.53,3.53,20610000,0.9,1,0.73%
SUP,"Superior Industries International",557946000,28.82,0.76,-6200000,1.23,0.36,1.61%
SUPN,"Supernus Pharm",2336398000,24.89,1.79,57280000,0.97,N/A,0.00%
SVU,"Supervalu Inc",1243564000,21.34,1.51,45000000,1.32,N/A,0.00%
SWM,"Schweitzer-Mauduit International",1256238000,11.75,3.45,34500000,1.24,1.72,4.21%
SXC,"Suncoke Energy Inc",743100000,22.14,0.51,122400000,0.98,N/A,0.00%
SXI,"Standex International Corp",1457488000,22.51,4.98,46550000,1.52,0.72,0.63%
SYKE,"Sykes Enterprises",1273895000,15.1,1.94,32220000,0.76,N/A,0.00%
TBI,"Trueblue Inc",1198585000,14.77,1.99,55460000,1.88,N/A,0.00%
TCMD,"Tactile Systems Technology Inc",1200432000,202.03,0.32,5860000,0.44,N/A,0.00%
TG,"Tredegar Corp",736818000,17.66,1.22,38250000,1.54,0.44,1.98%
TGI,"Triumph Group",1065934000,8.04,2.63,-425390000,1.78,0.16,0.75%
THRM,"Gentherm Inc",1792009000,26.2,1.87,35230000,1.73,N/A,0.00%
TILE,"Interface Inc",1403964000,17.86,1.31,53250000,1.17,0.26,1.10%
TISI,"Team Inc",730987000,0,-0.72,-104160000,1.68,N/A,0.00%
TIVO,"Tivo Corp",1739109000,28.26,0.46,-37960000,-0.36,0.72,5.12%
TLRD,"Tailored Brands Inc",1077672000,9.33,2.39,96700000,1.65,0.72,3.33%
TMP,Tompkinstrustco,1334402000,17.57,5.01,52490000,0.86,1.91,2.19%
TMST,"Timken Steel Corp",608963000,0,-0.73,-43800000,1.89,N/A,0.00%
TNC,"Tennant Company",1354346000,42.86,1.75,-6200000,0.83,0.84,1.12%
TPRE,"Third Point Reinsurance Ltd Co",1325079000,15.7,0.86,277800000,1.1,N/A,0.00%
TREX,"Trex Company",4831130000,40.94,1.98,95130000,2.4,N/A,0.00%
TRHC,"Tabula Rasa Healthcare Inc",1705220000,438.63,0.19,14300000,2.03,N/A,0.00%
TRST,"Trustco Bank Corp NY",897822000,16.49,0.57,43150000,1,0.262,2.82%
TTEC,"Teletech Hldgs",1207345000,14.97,1.69,7260000,0.9,0.52,1.99%
TTEK,"Tetra Tech Inc",3853735000,27.55,2.53,117870000,0.99,0.44,0.63%
TTI,"Tetra Technologies",583155000,0,-0.03,-39050000,0.69,N/A,0.00%
TTMI,"TTM Technologies I",1885939000,13.52,1.33,124210000,1.79,N/A,0.00%
TTS,"Tile Shop Hldgs",403232000,44.17,0.18,10820000,1.86,0.2,2.61%
TVPT,"Travelport Worldwide Ltd",2355079000,37.32,0.5,142460000,0.26,0.3,1.61%
TVTY,"Tivity Health",1318330000,18.62,1.36,63720000,0.46,N/A,0.00%
TWI,"Titan International",461230000,0,0.04,-60040000,1.62,0.02,0.26%
TYPE,"Monotype Imag. Hold.",905150000,30.85,0.71,11560000,0.94,0.458,2.13%
UBA,"Urstadt Biddle Properties Inc",904357000,16.99,0.55,52930000,0.34,1.075,4.71%
UCBI,"United Comm Banks",2419795000,16.41,1.86,67820000,0.83,0.47,1.54%
UCTT,"Ultra Clean Holdings",568524000,5.73,2.45,75090000,0.76,N/A,0.00%
UEIC,"Universal Elect In",602988000,14.39,2.97,-10320000,1.11,N/A,0.00%
UFCS,"United Fire Group I",1275296000,45.06,1.13,51020000,0.48,4.15,8.15%
UFI,"Unifi Inc",598495000,25.02,1.31,31700000,0.64,N/A,0.00%
UFPI,"Universal Forest Prd",2304346000,17.51,2.12,119510000,1.91,0.35,0.94%
UHT,"Universal Health Realty Income Trust",1020195000,22.86,1.52,45620000,0.33,2.66,3.58%
UIHC,"United Insurance Hld",882092000,20.12,1.03,10150000,1.65,0.24,1.17%
UNF,"Unifirst Corp",3513147000,30.39,6,70200000,0.6,0.225,0.12%
UNT,"Unit Corp",1486393000,37.14,0.74,117850000,2.87,N/A,0.00%
USCR,"U S Concrete Inc",820816000,20.9,2.33,25510000,0.94,N/A,0.00%
USPH,"U.S. Physical Therapy",1503130000,52.46,2.26,22260000,1.09,0.89,0.75%
UVE,"Universal Insurance Holdings Inc",1563919000,12.2,3.72,106940000,1.85,0.85,1.90%
UVV,"Universal Corp",1486368000,14.68,4.08,105660000,1.23,2.39,4.01%
VAC,"Marriot Vacations Worldwide Cor",3277410000,20.98,5.95,226780000,1.38,1.55,1.26%
VECO,"Veeco Instrument",553767000,51.67,0.21,-44790000,0.56,N/A,0.00%
VG,"Vonage Holdings",3363574000,41.94,0.34,-33930000,-0.06,N/A,0.00%
VIAV,"Viavi Solutions",2584575000,30.18,0.38,-46000000,0.98,N/A,0.00%
VICR,"Vicor Cp",2397196000,193.55,0.31,170000,1.04,N/A,0.00%
VIVO,"Meridian Bioscience",655080000,22.68,0.69,21560000,0.85,0.5,3.24%
VRA,"Vera Bradley",530680000,23.06,0.65,7020000,0.48,N/A,0.00%
VREX,"Varex Imaging Corp",1205297000,19.34,1.61,51600000,2.3,N/A,0.00%
VRTS,"Virtus Inv Prts",924572000,12.29,10.46,37010000,1.52,1.8,1.40%
VRTU,"Virtusa Corp",1694883000,54.31,1.06,1250000,1.19,N/A,0.00%
VRTV,"Veritiv Corp",752875000,19.34,2.5,-13300000,0.43,N/A,0.00%
VSI,"Vitamin Shoppe Inc",328282000,65,0.21,-252150000,0.57,N/A,0.00%
VSTO,"Vista Outdoor Inc",1035540000,72.04,0.25,-60230000,-0.31,N/A,0.00%
VVI,"Viad Corp",1258427000,34.8,1.78,57710000,0.7,0.4,0.65%
WABC,"Westamerica Bancorp",1678610000,25.73,2.48,50030000,1.02,1.6,2.54%
WAGE,"Wageworks Inc",2065244000,42.16,0.33,20210000,1.14,N/A,0.00%
WD,"Walker & Dunlop",1726417000,11.53,4.76,211130000,0.89,0.75,1.36%
WDFC,"W D 40 Co",2420315000,42.57,4.11,52930000,0.57,2.11,1.21%
WDR,"Waddell & Reed Financial",1642259000,10.03,2.05,141280000,1.9,1.21,5.88%
WETF,"Wisdomtree Invstmnts",1247602000,29.89,0.27,27200000,2.56,0.17,2.09%
WGO,"Winnebago Industries",1217327000,11.84,3.15,71330000,1.73,0.4,1.04%
WING,"Wingstop Inc",1954943000,80.45,0.82,27300000,0.81,3.45,5.17%
WIRE,"Encore Wire Cp",1085243000,18.32,2.83,67020000,1.87,0.08,0.15%
WLH,"William Lyon Homes",774032000,8.31,2.45,48140000,1.58,N/A,0.00%
WNC,"Wabash National Corp",1091567000,12.8,1.47,111420000,1.85,0.285,1.49%
WPG,"Washington Prime Group Inc",1475377000,5.01,0.34,197060000,0.64,1,12.61%
WRLD,"World Acceptance Cp",1096160000,15.09,7.87,53690000,2.75,N/A,0.00%
WSR,"Whitestone REIT",533708000,11,0.24,8330000,1.06,1.14,8.49%
WTS,"Watts Water Technologies",2853268000,24.43,3.41,73100000,1.05,0.78,0.93%
WWE,"World Wrestling Entertainment",6409177000,101.57,0.81,32640000,1.04,0.48,0.58%
WWW,"Wolverine World Wide",3608666000,20.47,1.88,300000,0.98,0.28,0.74%
XOXO,"Xoxo Group Inc",789478000,52.12,0.59,5530000,0.86,N/A,0.00%
XPER,"Xperi Corp",812605000,30.67,0.52,-56560000,0.6,0.8,4.83%
ZEUS,"Olympic Steel Inc",240789000,9.19,2.35,18960000,1.75,0.08,0.37%
ZUMZ,"Zumiez Inc",748818000,25.21,1.18,26800000,1.01,N/A,0.00%
"Downloaded from Barchart.com as of 08-28-2018 07:43pm CDT"
